URL,HTTP Status Code
https://www.usatoday.com/story/sports/nba/lakers/2019/06/15/anthony-davis-traded-lakers-pelicans-lonzo-ball-nba-deal/1467746001/,200
https://www.usatoday.com/staff/2648365001/ashley-shaffer/?page=1,200
https://www.usatoday.com/sitemap/2013/april/18/,200
https://www.usatoday.com/sitemap/2013/october/13/,200
https://www.usatoday.com/story/news/world/2015/03/19/tunisia-gunman-known-intelligence/25006627/,200
https://www.usatoday.com/staff/2647286001/kelsey-bloom/?page=2,200
https://www.usatoday.com/story/sports/nascar/2013/07/02/mark-martin-daytona-nascar-sprint-cup/2484919/,200
https://www.usatoday.com/sitemap/2013/november/15/,200
https://www.usatoday.com/story/travel/advice/2019/11/08/why-economy-passengers-should-stop-reclining-their-airline-seats/4158135002/,200
https://www.usatoday.com/media/latest/photos/travel/cruises/,200
https://www.usatoday.com/media/cinematic/video/2120331002/feisty-young-bobcat-is-scarier-than-he-looks/,301
https://www.usatoday.com/story/money/usaandmain/2020/02/12/small-business-prospectors-potential-clients/4729465002/,200
https://www.usatoday.com/media/cinematic/gallery/34854529/,301
https://www.usatoday.com/story/news/world/2016/07/13/iran-nuclear-deal-year-later/86978502/,200
https://www.usatoday.com/story/opinion/2017/08/14/hyping-draft-climate-studies-editorials-debates/104607052/,200
https://www.usatoday.com/videos/news/2013/09/11/2798555/,200
https://www.usatoday.com/media/cinematic/video/2151623002/fantasy-football-week-13-start-em-or-sit-em/,301
https://www.usatoday.com/story/dispatches/2013/04/19/boston-travel-airlines-amtrak-manhunt-terrorist/2096279/,200
https://www.usatoday.com/story/travel/experience/food-and-wine/2018/08/10/guinness-beer-brewery-maryland/947318002/,200
https://www.usatoday.com/story/sports/wnba/2020/01/28/dream-allowing-angel-mccoughtry-to-test-wnba-free-agency/41080317/,200
https://www.usatoday.com/story/news/nation/2013/05/31/iowa-town-takes-flooding-in-stride/2378689/,200
https://www.usatoday.com/story/sports/mlb/redsox/2013/09/10/boston-red-sox-tampa-bay-rays-al-east-wild-card-clay-buchholz/2796433/,200
https://www.usatoday.com/story/gameon/2013/04/18/nfl-schedule-2013-bad/2095289/,200
